sessionid,scripcode,buyorsell,typecode,rate,qty,minfillqty,avlqty,actionid,tradetimestamp,retetion,audcode,ordid,errorcode,ordertype
3,500002,S,L,216400,4,0,0,0,02mar2022 09:07:06,4,T,1646191800008003057,0,N
3,500002,S,L,216400,5,0,0,0,02mar2022 09:07:06,4,T,1646191800008003037,0,N
3,500002,B,L,216400,5,0,5,0,02mar2022 09:07:06,4,T,1646191800008003015,0,N
3,500002,B,L,216400,4,0,1,0,02mar2022 09:07:06,4,T,1646191800008003015,0,N
3,500002,B,L,216400,1,0,0,0,02mar2022 09:07:06,4,T,1646191800008003015,0,N
3,500002,S,L,216400,1,0,99,0,02mar2022 09:07:06,4,T,1646191800008003050,0,N
3,500002,S,L,215945,3,0,0,0,02mar2022 09:15:00,3,T,1646191800008003061,0,N
3,500002,B,L,215945,3,5,2,0,02mar2022 09:15:00,0,T,1646191800008003039,0,N
3,500002,B,L,215945,2,5,0,0,02mar2022 09:15:00,0,T,1646191800008003039,0,N
3,500002,S,L,215945,2,0,0,0,02mar2022 09:15:00,3,T,1646191800008003062,0,N
3,500002,B,L,215870,1,0,1,0,02mar2022 09:15:11,3,T,1646191800008003160,0,N
3,500002,S,L,215870,1,1,0,0,02mar2022 09:15:11,0,T,1646191800008003158,0,N
3,500002,B,L,215900,4,0,0,0,02mar2022 09:15:11,3,T,1646191800008003163,0,N
3,500002,S,L,215900,4,0,6,0,02mar2022 09:15:11,4,T,1646191800008003069,0,N
3,500002,S,L,215900,3,0,3,0,02mar2022 09:15:11,4,T,1646191800008003069,0,N
3,500002,B,L,215900,3,0,0,0,02mar2022 09:15:11,3,T,1646191800008003176,0,N
3,500002,B,L,215900,3,0,1,0,02mar2022 09:15:11,3,T,1646191800008003178,0,N
3,500002,S,L,215900,3,0,0,0,02mar2022 09:15:11,4,T,1646191800008003069,0,N
3,500002,B,L,215900,4,0,0,0,02mar2022 09:15:14,3,T,1646191800008003220,0,N
3,500002,S,L,215900,4,30,26,0,02mar2022 09:15:14,0,T,1646191800008003209,0,N
3,500002,S,L,215900,6,30,20,0,02mar2022 09:15:14,0,T,1646191800008003209,0,N
3,500002,B,L,215900,6,0,0,0,02mar2022 09:15:14,3,T,1646191800008003221,0,N
3,500002,S,L,215900,3,30,17,0,02mar2022 09:15:14,0,T,1646191800008003209,0,N
3,500002,B,L,215900,3,0,0,0,02mar2022 09:15:14,3,T,1646191800008003222,0,N
3,500002,B,L,215900,3,0,0,0,02mar2022 09:15:14,3,T,1646191800008003228,0,N
3,500002,S,L,215900,3,30,14,0,02mar2022 09:15:14,0,T,1646191800008003209,0,N
3,500002,S,L,215900,10,30,4,0,02mar2022 09:15:14,0,T,1646191800008003209,0,N
3,500002,B,L,215900,10,0,0,0,02mar2022 09:15:14,3,T,1646191800008003229,0,N
3,500002,S,L,215900,4,30,0,0,02mar2022 09:15:14,0,T,1646191800008003209,0,N
3,500002,B,L,215900,4,0,6,0,02mar2022 09:15:14,3,T,1646191800008003230,0,N
3,500002,S,L,216095,4,0,6,0,02mar2022 09:15:19,4,T,1646191800008003073,0,N
3,500002,B,L,216095,4,0,0,0,02mar2022 09:15:19,3,T,1646191800008003291,0,N
3,500002,S,L,216100,5,0,0,0,02mar2022 09:15:23,0,T,1646191800008003064,0,N
3,500002,S,L,216095,6,0,0,0,02mar2022 09:15:23,4,T,1646191800008003073,0,N
3,500002,S,L,216000,9,0,0,0,02mar2022 09:15:23,0,T,1646191800008003312,0,N
3,500002,B,L,216100,5,0,0,0,02mar2022 09:15:23,3,T,1646191800008003325,0,N
3,500002,B,L,216095,6,0,5,0,02mar2022 09:15:23,3,T,1646191800008003325,0,N
3,500002,B,L,216000,9,0,11,0,02mar2022 09:15:23,3,T,1646191800008003325,0,N
3,500002,S,L,216340,1,0,15,0,02mar2022 09:16:30,3,T,1646191800008509171,0,N
3,500002,B,L,216340,1,1,0,0,02mar2022 09:16:30,0,T,1646191800008003658,0,N
3,500002,S,L,216590,1,1,0,0,02mar2022 09:16:44,0,T,1646191800008509521,0,N
3,500002,B,L,216590,1,0,0,0,02mar2022 09:16:44,3,T,1646191800008509524,0,N
3,500002,B,L,216800,2,5,3,0,02mar2022 09:16:44,0,T,1646191800008003040,0,N
3,500002,S,L,216800,2,0,0,0,02mar2022 09:16:44,0,T,1646191800008509291,0,N
3,500002,S,L,216800,3,0,0,0,02mar2022 09:16:44,3,T,1646191800008509535,0,N
3,500002,B,L,216800,3,5,0,0,02mar2022 09:16:44,0,T,1646191800008003040,0,N
3,500002,B,L,216760,11,0,0,0,02mar2022 09:17:28,3,T,1646191800008509997,0,N
3,500002,B,L,216755,15,0,11,0,02mar2022 09:17:28,3,T,1646191800008509997,0,N
3,500002,B,L,216755,2,0,26,0,02mar2022 09:17:28,3,T,1646191800008509997,0,N
3,500002,S,L,216755,2,0,0,0,02mar2022 09:17:28,0,T,1646191800008509869,0,N
3,500002,S,L,216760,11,0,0,0,02mar2022 09:17:28,0,T,1646191800008509951,0,N
3,500002,S,L,216755,15,0,0,0,02mar2022 09:17:28,4,T,1646191800008509984,0,N
3,500002,S,L,216850,9,0,0,0,02mar2022 09:17:28,0,T,1646191800008509954,0,N
3,500002,S,L,216845,2,0,0,0,02mar2022 09:17:28,0,T,1646191800008509892,0,N
3,500002,S,L,216840,2,0,0,0,02mar2022 09:17:28,0,T,1646191800008509904,0,N
3,500002,S,L,216835,2,0,0,0,02mar2022 09:17:28,0,T,1646191800008509911,0,N
3,500002,B,L,216835,2,0,24,0,02mar2022 09:17:28,3,T,1646191800008652001,0,N
3,500002,B,L,216840,2,0,22,0,02mar2022 09:17:28,3,T,1646191800008652001,0,N
3,500002,B,L,216845,2,0,20,0,02mar2022 09:17:28,3,T,1646191800008652001,0,N
3,500002,B,L,216850,9,0,11,0,02mar2022 09:17:28,3,T,1646191800008652001,0,N
3,500002,B,L,216855,2,0,26,0,02mar2022 09:17:28,3,T,1646191800008652002,0,N
3,500002,S,L,216855,2,0,0,0,02mar2022 09:17:28,0,T,1646191800008509875,0,N
3,500002,S,L,216995,15,0,0,0,02mar2022 09:17:50,4,T,1646191800008652043,0,N
3,500002,S,L,216995,16,2,0,0,02mar2022 09:17:50,4,T,1646191800008509533,0,N
3,500002,B,G,216995,15,0,30,0,02mar2022 09:17:50,0,T,1646191800008652158,0,N
3,500002,B,G,216995,16,0,14,0,02mar2022 09:17:50,0,T,1646191800008652158,0,N
3,500002,B,G,217000,14,0,0,0,02mar2022 09:17:50,0,T,1646191800008652158,0,N
3,500002,S,L,217000,14,0,11,0,02mar2022 09:17:50,0,T,1646191800008003004,0,N
