sessionid,scripcode,buyorsell,typecode,rate,qty,minfillqty,avlqty,actionid,tradetimestamp,retetion,audcode,ordid,errorcode
3,500003,B,G,17295,30,0,0,0,2022-03-02 09:07:06.000089,0,T,1646191800088006075,0
3,500003,B,G,17295,31,0,0,0,2022-03-02 09:07:06.000089,0,T,1646191800088006040,0
3,500003,B,G,17295,27,0,31,0,2022-03-02 09:07:06.000089,0,T,1646191800088006040,0
3,500003,S,L,17295,31,0,44,0,2022-03-02 09:07:06.000089,0,T,1646191800088006062,0
3,500003,S,L,17295,30,0,3,0,2022-03-02 09:07:06.000089,0,T,1646191800088006062,0
3,500003,S,L,17295,10,0,34,0,2022-03-02 09:07:06.000089,0,T,1646191800088006062,0
3,500003,S,L,17295,4,0,30,0,2022-03-02 09:07:06.000089,0,T,1646191800088006062,0
3,500003,S,L,17295,27,0,0,0,2022-03-02 09:07:06.000089,0,T,1646191800088006073,0
3,500003,S,L,17295,53,0,27,0,2022-03-02 09:07:06.000089,0,T,1646191800088006073,0
3,500003,S,L,17295,20,0,80,0,2022-03-02 09:07:06.000089,0,T,1646191800088006073,0
3,500003,B,L,17295,30,0,55,0,2022-03-02 09:07:06.000089,4,T,1646191800088006056,0
3,500003,S,L,17295,30,0,0,0,2022-03-02 09:07:06.000089,0,T,1646191800088006067,0
3,500003,B,L,17295,30,0,25,0,2022-03-02 09:07:06.000089,4,T,1646191800088006056,0
3,500003,B,L,17295,5,0,20,0,2022-03-02 09:07:06.000089,4,T,1646191800088006056,0
3,500003,B,L,17295,20,0,0,0,2022-03-02 09:07:06.000089,4,T,1646191800088006056,0
3,500003,B,G,17295,53,0,0,0,2022-03-02 09:07:06.000089,0,T,1646191800088006039,0
3,500003,S,L,17295,30,0,0,0,2022-03-02 09:07:06.000089,0,T,1646191800088006049,0
3,500003,S,L,17295,5,0,0,0,2022-03-02 09:07:06.000089,4,T,1646191800088006008,0
